Type	Name	Rev	New Name	New Rev	Policy	State	Vault	Owner	description	CAS Number	Substance Name	Originator	GWM GADSL	GWM From-To	GWM EC name	GWM EC number	GWM IUPAC name	GWM Molecular Formula	GWM Ref CAS name	GWM Ref CAS number	GWM Ref EC name	GWM Ref EC number	GWM Ref IUPAC name	GWM Reference Substance	GWM REACH
Substance					Substance	Active	eService Production	creator		124-73-2		creator	P												
Substance					Substance	Active	eService Production	creator		12503-49-0		creator	D												
Substance					Substance	Active	eService Production	creator		12515-29-6		creator	D												
Substance					Substance	Active	eService Production	creator		12516-51-7		creator	D												
Substance					Substance	Active	eService Production	creator		12516-52-8		creator	D												
Substance					Substance	Active	eService Production	creator		125252-57-5		creator	D												
Substance					Substance	Active	eService Production	creator		125328-49-6		creator	D/P												
Substance					Substance	Active	eService Production	creator		12536-51-5		creator	D												
Substance					Substance	Active	eService Production	creator		12536-52-6		creator	D												
Substance					Substance	Active	eService Production	creator		125378-88-3		creator	D												
Substance					Substance	Active	eService Production	creator		125378-89-4		creator	D												
Substance					Substance	Active	eService Production	creator		125378-91-8		creator	D												
Substance					Substance	Active	eService Production	creator		125408-78-8		creator	D												
